2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
AFARAK GROUP ;AFARAK GROUP ;AFARAK GROUP ;AFARAK GROUP ;AFARAK GROUP ;AFARAK GROUP ;AFARAK GROUP ;AFARAK GROUP ;AFARAK GROUP ;AFARAK GROUP ;AFARAK GROUP 
AFFECTO OYJ ;AFFECTO OYJ ;AFFECTO OYJ ;AFFECTO OYJ ;AFFECTO OYJ ;AFFECTO OYJ ;AFFECTO OYJ ;AFFECTO OYJ ;AFFECTO OYJ ;AFFECTO OYJ ;AHLSTROM MUNKSJO OYJ 
AHLSTROM OYJ ;AHLSTROM OYJ ;AHLSTROM OYJ ;AHLSTROM OYJ ;AHLSTROM OYJ ;AHLSTROM OYJ ;AHLSTROM OYJ ;AHLSTROM OYJ ;AHLSTROM OYJ ;AHLSTROM MUNKSJO OYJ ;ALMA MEDIA OYJ 
SYMPHONYEYC ;SYMPHONYEYC ;AHTIUM OYJ ;AHTIUM OYJ ;AHTIUM OYJ ;AHTIUM OYJ ;AHLSTROM MUNKSJO OYJ ;AHLSTROM MUNKSJO OYJ ;AHLSTROM MUNKSJO OYJ ;ALMA MEDIA OYJ ;AMER SPORTS 
ALMA MEDIA OYJ ;ALMA MEDIA OYJ ;SYMPHONYEYC ;SYMPHONYEYC ;AMER SPORTS ;ALMA MEDIA OYJ ;AHTIUM OYJ ;ALMA MEDIA OYJ ;ALMA MEDIA OYJ ;AMER SPORTS ;APETIT OYJ 
AMER SPORTS ;AMER SPORTS ;ALMA MEDIA OYJ ;ALMA MEDIA OYJ ;APETIT OYJ ;AMER SPORTS ;ALMA MEDIA OYJ ;AMER SPORTS ;AMER SPORTS ;APETIT OYJ ;ASPO OYJ 
APETIT OYJ ;APETIT OYJ ;AMER SPORTS ;AMER SPORTS ;ASPO OYJ ;APETIT OYJ ;AMER SPORTS ;APETIT OYJ ;APETIT OYJ ;ASPO OYJ ;ASPOCOMP GROUP OYJ 
ASPO OYJ ;ASPO OYJ ;APETIT OYJ ;APETIT OYJ ;ASPOCOMP GROUP OYJ ;ASPO OYJ ;APETIT OYJ ;ASPO OYJ ;ASPO OYJ ;ASPOCOMP GROUP OYJ ;ATRIA PLC 
ASPOCOMP GROUP OYJ ;ASPOCOMP GROUP OYJ ;ASPO OYJ ;ASPO OYJ ;ATRIA PLC ;ASPOCOMP GROUP OYJ ;ASPO OYJ ;ASPOCOMP GROUP OYJ ;ASPOCOMP GROUP OYJ ;ATRIA PLC ;BASWARE OYJ 
ATRIA PLC ;ATRIA PLC ;ASPOCOMP GROUP OYJ ;ASPOCOMP GROUP OYJ ;BASWARE OYJ ;ATRIA PLC ;ASPOCOMP GROUP OYJ ;ATRIA PLC ;ATRIA PLC ;BASWARE OYJ ;BIOHIT OYJ 
BASWARE OYJ ;BASWARE OYJ ;ATRIA PLC ;ATRIA PLC ;BIOHIT OYJ ;BASWARE OYJ ;ATRIA PLC ;BASWARE OYJ ;BASWARE OYJ ;BIOHIT OYJ ;BITTIUM OYJ 
BIOHIT OYJ ;BIOHIT OYJ ;BASWARE OYJ ;BASWARE OYJ ;BITTIUM OYJ ;BIOHIT OYJ ;BASWARE OYJ ;BIOHIT OYJ ;BIOHIT OYJ ;BITTIUM OYJ ;CARGOTEC CORPORATION 
BITTIUM OYJ ;BITTIUM OYJ ;BIOHIT OYJ ;BIOHIT OYJ ;CARGOTEC CORPORATION ;BITTIUM OYJ ;BIOHIT OYJ ;BITTIUM OYJ ;BITTIUM OYJ ;CARGOTEC CORPORATION ;CAVERION OYJ 
CARGOTEC CORPORATION ;CARGOTEC CORPORATION ;BITTIUM OYJ ;BITTIUM OYJ ;CITYCON OYJ ;CARGOTEC CORPORATION ;BITTIUM OYJ ;CARGOTEC CORPORATION ;CARGOTEC CORPORATION ;CAVERION OYJ ;CITYCON OYJ 
CITYCON OYJ ;CITYCON OYJ ;CARGOTEC CORPORATION ;CARGOTEC CORPORATION ;COMPONENTA CO ;CITYCON OYJ ;CARGOTEC CORPORATION ;CAVERION OYJ ;CAVERION OYJ ;CITYCON OYJ ;COMPONENTA CO 
COMPONENTA CO ;COMPONENTA CO ;CITYCON OYJ ;CITYCON OYJ ;COMPTEL OYJ ;COMPONENTA CO ;CAVERION OYJ ;CITYCON OYJ ;CITYCON OYJ ;COMPONENTA CO ;CONSTI GROUP 
COMPTEL OYJ ;COMPTEL OYJ ;COMPONENTA CO ;COMPONENTA CO ;CRAMO OYJ ;COMPTEL OYJ ;CITYCON OYJ ;COMPONENTA CO ;COMPONENTA CO ;COMPTEL OYJ ;CRAMO OYJ 
CRAMO OYJ ;CRAMO OYJ ;COMPTEL OYJ ;COMPTEL OYJ ;DIGIA PLC ;CRAMO OYJ ;COMPONENTA CO ;COMPTEL OYJ ;COMPTEL OYJ ;CONSTI GROUP ;DNA 
DIGIA PLC ;DIGIA PLC ;CRAMO OYJ ;CRAMO OYJ ;DIGITALIST GROUP OYJ ;DIGIA PLC ;COMPTEL OYJ ;CRAMO OYJ ;CONSTI GROUP ;CRAMO OYJ ;DOVRE GROUP 
DIGITALIST GROUP OYJ ;DIGITALIST GROUP OYJ ;DIGIA PLC ;DIGIA PLC ;DOVRE GROUP ;DIGITALIST GROUP OYJ ;CRAMO OYJ ;DIGIA PLC ;CRAMO OYJ ;DIGIA PLC ;EFORE PLC 
DOVRE GROUP ;DOVRE GROUP ;DIGITALIST GROUP OYJ ;DIGITALIST GROUP OYJ ;EFORE PLC ;DOVRE GROUP ;DIGIA PLC ;DIGITALIST GROUP OYJ ;DIGIA PLC ;DIGITALIST GROUP OYJ ;ELECSTER OYJ 
EFORE PLC ;EFORE PLC ;DOVRE GROUP ;DOVRE GROUP ;ELECSTER OYJ ;EFORE PLC ;DIGITALIST GROUP OYJ ;DOVRE GROUP ;DIGITALIST GROUP OYJ ;DNA ;ELISA CORP 
ELCOTEQ SE ;ELCOTEQ SE ;EFORE PLC ;EFORE PLC ;ELISA CORP ;ELECSTER OYJ ;DOVRE GROUP ;EFORE PLC ;DOVRE GROUP ;DOVRE GROUP ;ETTEPLAN OYJ 
ELECSTER OYJ ;ELECSTER OYJ ;ELCOTEQ SE ;ELCOTEQ SE ;ETTEPLAN OYJ ;ELISA CORP ;EFORE PLC ;ELECSTER OYJ ;EFORE PLC ;EFORE PLC ;EXEL COMPOSITES OYJ 
ELISA CORP ;ELISA CORP ;ELECSTER OYJ ;ELECSTER OYJ ;EXEL COMPOSITES OYJ ;ETTEPLAN OYJ ;ELECSTER OYJ ;ELISA CORP ;ELECSTER OYJ ;ELECSTER OYJ ;FSECURE OYJ 
ETTEPLAN OYJ ;ETTEPLAN OYJ ;ELISA CORP ;ELISA CORP ;FSECURE OYJ ;EXEL COMPOSITES OYJ ;ELISA CORP ;ETTEPLAN OYJ ;ELISA CORP ;ELISA CORP ;FISKARS OYJ 
EVIA OYJ ;EXEL COMPOSITES OYJ ;ETTEPLAN OYJ ;ETTEPLAN OYJ ;FINNAIR OYJ ;FSECURE OYJ ;ETTEPLAN OYJ ;EXEL COMPOSITES OYJ ;ETTEPLAN OYJ ;ETTEPLAN OYJ ;GLASTON CORPORATION 
EXEL COMPOSITES OYJ ;FSECURE OYJ ;EXEL COMPOSITES OYJ ;EXEL COMPOSITES OYJ ;FINNLINES OYJ ;FINNAIR OYJ ;EXEL COMPOSITES OYJ ;FSECURE OYJ ;EXEL COMPOSITES OYJ ;EXEL COMPOSITES OYJ ;HKSCAN CORP 
FSECURE OYJ ;FINNAIR OYJ ;FSECURE OYJ ;FSECURE OYJ ;FISKARS OYJ ;FINNLINES OYJ ;FSECURE OYJ ;FINNAIR OYJ ;FSECURE OYJ ;FSECURE OYJ ;HONKARAKENNE OYJ 
FINNAIR OYJ ;FINNLINES OYJ ;FINNAIR OYJ ;FINNAIR OYJ ;FORTUM OYJ ;FISKARS OYJ ;FINNAIR OYJ ;FINNLINES OYJ ;FINNAIR OYJ ;FORTUM OYJ ;HUHTAMAKI OYJ 
FINNLINES OYJ ;FISKARS OYJ ;FINNLINES OYJ ;FINNLINES OYJ ;GLASTON CORPORATION ;FORTUM OYJ ;FINNLINES OYJ ;FISKARS OYJ ;FINNLINES OYJ ;GLASTON CORPORATION ;ILKKA YHTYMA OYJ 
FISKARS OYJ ;FORTUM OYJ ;FISKARS OYJ ;FISKARS OYJ ;HKSCAN CORP ;GLASTON CORPORATION ;FISKARS OYJ ;FORTUM OYJ ;FISKARS OYJ ;HKSCAN CORP ;INCAP OYJ 
FORTUM OYJ ;GLASTON CORPORATION ;FORTUM OYJ ;FORTUM OYJ ;HONKARAKENNE OYJ ;HKSCAN CORP ;FORTUM OYJ ;GLASTON CORPORATION ;FORTUM OYJ ;HONKARAKENNE OYJ ;INNOFACTOR PLC 
GLASTON CORPORATION ;HKSCAN CORP ;GLASTON CORPORATION ;GLASTON CORPORATION ;HUHTAMAKI OYJ ;HONKARAKENNE OYJ ;GLASTON CORPORATION ;HKSCAN CORP ;GLASTON CORPORATION ;HUHTAMAKI OYJ ;INVESTORS HOUSE OYJ 
HKSCAN CORP ;HONKARAKENNE OYJ ;HKSCAN CORP ;HKSCAN CORP ;ILKKA YHTYMA OYJ ;HUHTAMAKI OYJ ;HKSCAN CORP ;HONKARAKENNE OYJ ;HKSCAN CORP ;ILKKA YHTYMA OYJ ;KEMIRA OYJ 
HONKARAKENNE OYJ ;HUHTAMAKI OYJ ;HONKARAKENNE OYJ ;HONKARAKENNE OYJ ;INCAP OYJ ;ILKKA YHTYMA OYJ ;HONKARAKENNE OYJ ;HUHTAMAKI OYJ ;HONKARAKENNE OYJ ;INCAP OYJ ;KESKISUOMALAINEN OYJ 
HUHTAMAKI OYJ ;ILKKA YHTYMA OYJ ;HUHTAMAKI OYJ ;HUHTAMAKI OYJ ;INNOFACTOR PLC ;INCAP OYJ ;HUHTAMAKI OYJ ;ILKKA YHTYMA OYJ ;HUHTAMAKI OYJ ;INNOFACTOR PLC ;KESKO OYJ 
ILKKA YHTYMA OYJ ;INCAP OYJ ;ILKKA YHTYMA OYJ ;ILKKA YHTYMA OYJ ;INVESTORS HOUSE OYJ ;INNOFACTOR PLC ;ILKKA YHTYMA OYJ ;INCAP OYJ ;ILKKA YHTYMA OYJ ;INVESTORS HOUSE OYJ ;KONE CORPORATION 
INCAP OYJ ;INVESTORS HOUSE OYJ ;INCAP OYJ ;INCAP OYJ ;KESKISUOMALAINEN OYJ ;INVESTORS HOUSE OYJ ;INCAP OYJ ;INNOFACTOR PLC ;INCAP OYJ ;KEMIRA OYJ ;KONECRANES ABP 
INVESTORS HOUSE OYJ ;JULIUS TALLBERG OYJ ;INNOFACTOR PLC ;INNOFACTOR PLC ;KESKO OYJ ;KEMIRA OYJ ;INNOFACTOR PLC ;INVESTORS HOUSE OYJ ;INNOFACTOR PLC ;KESKISUOMALAINEN OYJ ;LASSILA & TIKANOJA 
JULIUS TALLBERG OYJ ;KEMIRA OYJ ;INTERAVANTI OYJ ;INTERAVANTI OYJ ;KESLA OYJ ;KESKISUOMALAINEN OYJ ;INVESTORS HOUSE OYJ ;KEMIRA OYJ ;INVESTORS HOUSE OYJ ;KESKO OYJ ;LEHTO GROUP 
KEMIRA OYJ ;KESKISUOMALAINEN OYJ ;INVESTORS HOUSE OYJ ;INVESTORS HOUSE OYJ ;KONE CORPORATION ;KESKO OYJ ;KEMIRA OYJ ;KESKISUOMALAINEN OYJ ;KEMIRA OYJ ;KONE CORPORATION ;MARIMEKKO OYJ 
KESKISUOMALAINEN OYJ ;KESKO OYJ ;KEMIRA OYJ ;KEMIRA OYJ ;KONECRANES ABP ;KESLA OYJ ;KESKISUOMALAINEN OYJ ;KESKO OYJ ;KESKISUOMALAINEN OYJ ;LASSILA & TIKANOJA ;MARTELA OYJ 
KESKO OYJ ;KESLA OYJ ;KESKISUOMALAINEN OYJ ;KESKISUOMALAINEN OYJ ;LASSILA & TIKANOJA ;KONE CORPORATION ;KESKO OYJ ;KESLA OYJ ;KESKO OYJ ;LEHTO GROUP ;METSA BOARD OYJ 
KESLA OYJ ;KONE CORPORATION ;KESKO OYJ ;KESKO OYJ ;LEMMINKAINEN OYJ ;KONECRANES ABP ;KESLA OYJ ;KONE CORPORATION ;KESLA OYJ ;MARIMEKKO OYJ ;METSO OYJ 
KONE CORPORATION ;KONECRANES ABP ;KESLA OYJ ;KESLA OYJ ;MARIMEKKO OYJ ;LASSILA & TIKANOJA ;KONE CORPORATION ;KONECRANES ABP ;KONE CORPORATION ;MARTELA OYJ ;NEO INDUSTRIAL 
KONECRANES ABP ;LAROX OYJ ;KONE CORPORATION ;KONE CORPORATION ;MARTELA OYJ ;LEMMINKAINEN OYJ ;KONECRANES ABP ;LASSILA & TIKANOJA ;KONECRANES ABP ;METSA BOARD OYJ ;NESTE OYJ 
LAROX OYJ ;LASSILA & TIKANOJA ;KONECRANES ABP ;KONECRANES ABP ;METSA BOARD OYJ ;MARIMEKKO OYJ ;LASSILA & TIKANOJA ;LEMMINKAINEN OYJ ;LEMMINKAINEN OYJ ;METSO OYJ ;NEXT GAMES OY 
LASSILA & TIKANOJA ;LEMMINKAINEN OYJ ;LAROX OYJ ;LASSILA & TIKANOJA ;METSO OYJ ;MARTELA OYJ ;LEMMINKAINEN OYJ ;MARIMEKKO OYJ ;MARTELA OYJ ;NEO INDUSTRIAL ;NOKIA OYJ 
LEMMINKAINEN OYJ ;MARIMEKKO OYJ ;LASSILA & TIKANOJA ;LEMMINKAINEN OYJ ;NEO INDUSTRIAL ;METSA BOARD OYJ ;MARIMEKKO OYJ ;MARTELA OYJ ;METSA BOARD OYJ ;NESTE OYJ ;NOKIAN TYRES PLC 
MARIMEKKO OYJ ;MARTELA OYJ ;LEMMINKAINEN OYJ ;MARIMEKKO OYJ ;NESTE OYJ ;METSO OYJ ;MARTELA OYJ ;METSA BOARD OYJ ;METSO OYJ ;NOKIA OYJ ;NURMINEN LOGISTICS 
MARTELA OYJ ;METSA BOARD OYJ ;MARIMEKKO OYJ ;MARTELA OYJ ;NOKIA OYJ ;NEO INDUSTRIAL ;METSA BOARD OYJ ;METSO OYJ ;NEO INDUSTRIAL ;NOKIAN TYRES PLC ;OLVI OYJ 
METSA BOARD OYJ ;METSO OYJ ;MARTELA OYJ ;METSA BOARD OYJ ;NOKIAN TYRES PLC ;NESTE OYJ ;METSO OYJ ;NEO INDUSTRIAL ;NESTE OYJ ;NURMINEN LOGISTICS ;ORIOLA OYJ 
