2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
METSO OYJ ;NEO INDUSTRIAL ;METSA BOARD OYJ ;METSO OYJ ;NURMINEN LOGISTICS ;NOKIA OYJ ;NEO INDUSTRIAL ;NESTE OYJ ;NOKIA OYJ ;ORIOLA OYJ ;ORION OYJ 
NEO INDUSTRIAL ;NESTE OYJ ;METSO OYJ ;NEO INDUSTRIAL ;OKMETIC OYJ ;NOKIAN TYRES PLC ;NESTE OYJ ;NOKIA OYJ ;NOKIAN TYRES PLC ;ORION OYJ ;OUTOKUMPU OYJ 
NESTE OYJ ;NOKIA OYJ ;NEO INDUSTRIAL ;NESTE OYJ ;ORAL HAMMASLAAKARIT ;NURMINEN LOGISTICS ;NOKIA OYJ ;NOKIAN TYRES PLC ;NURMINEN LOGISTICS ;OUTOKUMPU OYJ ;OUTOTEC OYJ 
NOKIA OYJ ;NOKIAN TYRES PLC ;NESTE OYJ ;NOKIA OYJ ;ORIOLA OYJ ;OKMETIC OYJ ;NOKIAN TYRES PLC ;NURMINEN LOGISTICS ;OKMETIC OYJ ;OUTOTEC OYJ ;OVARO KIINTEIS 
NOKIAN TYRES PLC ;NORDIC ALUMINIUM OYJ ;NOKIA OYJ ;NOKIAN TYRES PLC ;ORION OYJ ;OLVI OYJ ;NURMINEN LOGISTICS ;OKMETIC OYJ ;OLVI OYJ ;OVARO KIINTEIS ;PIHLAJALINNA OYJ 
NORDIC ALUMINIUM OYJ ;NURMINEN LOGISTICS ;NOKIAN TYRES PLC ;NORDIC ALUMINIUM OYJ ;OUTOKUMPU OYJ ;ORAL HAMMASLAAKARIT ;OKMETIC OYJ ;OLVI OYJ ;ORIOLA OYJ ;PIHLAJALINNA OYJ ;KARJALAN KIRJAPAINO 
NURMINEN LOGISTICS ;OKMETIC OYJ ;NORDIC ALUMINIUM OYJ ;NURMINEN LOGISTICS ;OUTOTEC OYJ ;ORIOLA OYJ ;OLVI OYJ ;ORIOLA OYJ ;ORION OYJ ;PKC GROUP OYJ ;PONSSE OYJ 
OKMETIC OYJ ;OLVI OYJ ;NURMINEN LOGISTICS ;OKMETIC OYJ ;PKC GROUP OYJ ;ORION OYJ ;ORAL HAMMASLAAKARIT ;ORION OYJ ;OUTOKUMPU OYJ ;KARJALAN KIRJAPAINO ;POYRY OYJ 
OLVI OYJ ;ORAL HAMMASLAAKARIT ;OKMETIC OYJ ;OLVI OYJ ;KARJALAN KIRJAPAINO ;OUTOKUMPU OYJ ;ORIOLA OYJ ;OUTOKUMPU OYJ ;OUTOTEC OYJ ;PONSSE OYJ ;QT GROUP OYJ 
ORAL HAMMASLAAKARIT ;ORIOLA OYJ ;OLVI OYJ ;ORAL HAMMASLAAKARIT ;PONSSE OYJ ;OUTOTEC OYJ ;ORION OYJ ;OUTOTEC OYJ ;OVARO KIINTEIS ;POYRY OYJ ;RAISIO OYJ 
ORIOLA OYJ ;ORION OYJ ;ORAL HAMMASLAAKARIT ;ORIOLA OYJ ;POYRY OYJ ;PKC GROUP OYJ ;OUTOKUMPU OYJ ;OVARO KIINTEIS ;PIHLAJALINNA OYJ ;QPR SOFTWARE OYJ ;RAMIRENT OYJ 
ORION OYJ ;OUTOKUMPU OYJ ;ORIOLA OYJ ;ORION OYJ ;QPR SOFTWARE OYJ ;KARJALAN KIRJAPAINO ;OUTOTEC OYJ ;PKC GROUP OYJ ;PKC GROUP OYJ ;QT GROUP OYJ ;RAUTE OYJ 
OUTOKUMPU OYJ ;OUTOTEC OYJ ;ORION OYJ ;OUTOKUMPU OYJ ;RAISIO OYJ ;PONSSE OYJ ;OVARO KIINTEIS ;KARJALAN KIRJAPAINO ;KARJALAN KIRJAPAINO ;RAISIO OYJ ;RESTAMAX 
OUTOTEC OYJ ;PKC GROUP OYJ ;OUTOKUMPU OYJ ;OUTOTEC OYJ ;RAMIRENT OYJ ;POYRY OYJ ;PKC GROUP OYJ ;PONSSE OYJ ;PONSSE OYJ ;RAMIRENT OYJ ;REVENIO GROUP OYJ 
PKC GROUP OYJ ;KARJALAN KIRJAPAINO ;OUTOTEC OYJ ;PKC GROUP OYJ ;RAPALA VMC ;QPR SOFTWARE OYJ ;KARJALAN KIRJAPAINO ;POYRY OYJ ;POYRY OYJ ;RAPALA VMC ;ROBIT PLC 
KARJALAN KIRJAPAINO ;PONSSE OYJ ;PKC GROUP OYJ ;KARJALAN KIRJAPAINO ;RAUTARUUKKI CORP ;RAISIO OYJ ;PONSSE OYJ ;QPR SOFTWARE OYJ ;QPR SOFTWARE OYJ ;RAUTE OYJ ;ROVIO ENTERTAINMENT 
PONSSE OYJ ;POYRY OYJ ;KARJALAN KIRJAPAINO ;PONSSE OYJ ;RAUTE OYJ ;RAMIRENT OYJ ;POYRY OYJ ;RAISIO OYJ ;RAISIO OYJ ;RESTAMAX ;SAMPO OYJ 
POYRY OYJ ;QPR SOFTWARE OYJ ;PONSSE OYJ ;POYRY OYJ ;REVENIO GROUP OYJ ;RAPALA VMC ;QPR SOFTWARE OYJ ;RAMIRENT OYJ ;RAMIRENT OYJ ;REVENIO GROUP OYJ ;SANOMA OYJ
QPR SOFTWARE OYJ ;RAISIO OYJ ;POYRY OYJ ;QPR SOFTWARE OYJ ;SAGA FURS OYJ ;RAUTARUUKKI CORP ;RAISIO OYJ ;RAPALA VMC ;RAUTE OYJ ;ROBIT PLC ;SCANFIL PLC 
RAISIO OYJ ;RAMIRENT OYJ ;QPR SOFTWARE OYJ ;RAISIO OYJ ;SAMPO OYJ ;RAUTE OYJ ;RAMIRENT OYJ ;RAUTE OYJ ;RESTAMAX ;SAGA FURS OYJ ;SIILI SOLUTIONS OYJ 
RAMIRENT OYJ ;RAPALA VMC ;RAISIO OYJ ;RAMIRENT OYJ ;SANOMA OYJ;REVENIO GROUP OYJ ;RAPALA VMC ;RESTAMAX ;REVENIO GROUP OYJ ;SAMPO OYJ ;SOLTEQ OYJ 
RAPALA VMC ;RAUTARUUKKI CORP ;RAMIRENT OYJ ;RAPALA VMC ;SCANFIL PLC ;SAGA FURS OYJ ;RAUTARUUKKI CORP ;REVENIO GROUP OYJ ;ROBIT PLC ;SANOMA OYJ;SOPRANO OYJ 
RAUTARUUKKI CORP ;RAUTE OYJ ;RAPALA VMC ;RAUTARUUKKI CORP ;SOLTEQ OYJ ;SAMPO OYJ ;RAUTE OYJ ;SAGA FURS OYJ ;SAGA FURS OYJ ;SCANFIL PLC ;SRV GROUP PLC 
RAUTE OYJ ;REVENIO GROUP OYJ ;RAUTARUUKKI CORP ;RAUTE OYJ ;SOPRANO OYJ ;SANOMA OYJ;RESTAMAX ;SAMPO OYJ ;SAMPO OYJ ;SIILI SOLUTIONS OYJ ;SSH COMM 
REVENIO GROUP OYJ ;ROCLA OYJ ;RAUTE OYJ ;REVENIO GROUP OYJ ;SPONDA OYJ ;SCANFIL PLC ;REVENIO GROUP OYJ ;SANOMA OYJ;SANOMA OYJ;SOLTEQ OYJ ;STOCKMANN OYJ 
ROCLA OYJ ;SAGA FURS OYJ ;REVENIO GROUP OYJ ;SAGA FURS OYJ ;SRV GROUP PLC ;SOPRANO OYJ ;SAGA FURS OYJ ;SCANFIL PLC ;SCANFIL PLC ;SOPRANO OYJ ;STORA ENSO OYJ 
SAGA FURS OYJ ;SALCOMP ;SAGA FURS OYJ ;SALCOMP ;SSH COMM ;SPONDA OYJ ;SAMPO OYJ ;SIILI SOLUTIONS OYJ ;SIILI SOLUTIONS OYJ ;SPONDA OYJ ;SUOMEN HOIVATILA 
SALCOMP ;SAMPO OYJ ;SALCOMP ;SAMPO OYJ ;STOCKMANN OYJ ;SRV GROUP PLC ;SANOMA OYJ;SOLTEQ OYJ ;SOLTEQ OYJ ;SRV GROUP PLC ;SUOMINEN OYJ 
SAMPO OYJ ;SANOMA OYJ;SAMPO OYJ ;SANOMA OYJ;STONESOFT OYJ ;SSH COMM ;SCANFIL PLC ;SOPRANO OYJ ;SOPRANO OYJ ;SSH COMM ;TECHNOPOLIS OYJ 
SANOMA OYJ;SOLTEQ OYJ ;SANOMA OYJ;SOLTEQ OYJ ;STORA ENSO OYJ ;STOCKMANN OYJ ;SIILI SOLUTIONS OYJ ;SPONDA OYJ ;SPONDA OYJ ;STOCKMANN OYJ ;TECNOTREE OYJ 
SOLTEQ OYJ ;SOPRANO OYJ ;SOLTEQ OYJ ;SOPRANO OYJ ;SUOMINEN OYJ ;STONESOFT OYJ ;SOLTEQ OYJ ;SRV GROUP PLC ;SRV GROUP PLC ;STORA ENSO OYJ ;TELESTE OYJ 
SOPRANO OYJ ;SPONDA OYJ ;SOPRANO OYJ ;SPONDA OYJ ;TAKOMA OYJ ;STORA ENSO OYJ ;SOPRANO OYJ ;SSH COMM ;SSH COMM ;SUOMEN HOIVATILA ;TERVEYSTALO OY 
SPONDA OYJ ;SRV GROUP PLC ;SPONDA OYJ ;SRV GROUP PLC ;TALENTUM OYJ ;SUOMINEN OYJ ;SPONDA OYJ ;STOCKMANN OYJ ;STOCKMANN OYJ ;SUOMINEN OYJ ;TIETO OYJ 
SRV GROUP PLC ;SSH COMM ;SRV GROUP PLC ;SSH COMM ;TECHNOPOLIS OYJ ;TAKOMA OYJ ;SRV GROUP PLC ;STORA ENSO OYJ ;STORA ENSO OYJ ;TECHNOPOLIS OYJ ;TIKKURILA OYJ 
SSH COMM ;STOCKMANN OYJ ;SSH COMM ;STOCKMANN OYJ ;TECNOTREE OYJ ;TALENTUM OYJ ;SSH COMM ;SUOMINEN OYJ ;SUOMINEN OYJ ;TECNOTREE OYJ ;TOKMANNI GROUP 
STOCKMANN OYJ ;STONESOFT OYJ ;STOCKMANN OYJ ;STONESOFT OYJ ;TELESTE OYJ ;TECHNOPOLIS OYJ ;STOCKMANN OYJ ;TAKOMA OYJ ;TAKOMA OYJ ;TELESTE OYJ ;TRAINERS HOUSE 
STONESOFT OYJ ;STORA ENSO OYJ ;STONESOFT OYJ ;STORA ENSO OYJ ;TIETO OYJ ;TECNOTREE OYJ ;STORA ENSO OYJ ;TALENTUM OYJ ;TECHNOPOLIS OYJ ;TIETO OYJ ;TULIKIVI OYJ 
STORA ENSO OYJ ;SUOMINEN OYJ ;STORA ENSO OYJ ;SUOMINEN OYJ ;TIIMARI OYJ ABP ;TELESTE OYJ ;SUOMINEN OYJ ;TECHNOPOLIS OYJ ;TELESTE OYJ ;TIKKURILA OYJ ;UPM KYMMENE OYJ
SUOMINEN OYJ ;TAKOMA OYJ ;SUOMINEN OYJ ;TAKOMA OYJ ;TIKKURILA OYJ ;TIETO OYJ ;TAKOMA OYJ ;TECNOTREE OYJ ;TIETO OYJ ;TOKMANNI GROUP ;UPONOR OYJ 
TAKOMA OYJ ;TALENTUM OYJ ;TAKOMA OYJ ;TALENTUM OYJ ;TRAINERS HOUSE ;TIIMARI OYJ ABP ;TALENTUM OYJ ;TELESTE OYJ ;TIKKURILA OYJ ;TRAINERS HOUSE ;PLC UUTECHNIC 
TALENTUM OYJ ;TAMFELT OYJ ABP ;TALENTUM OYJ ;TECHNOPOLIS OYJ ;TULIKIVI OYJ ;TIKKURILA OYJ ;TECHNOPOLIS OYJ ;TIETO OYJ ;TRAINERS HOUSE ;TULIKIVI OYJ ;VAISALA OYJ 
TECHNOPOLIS OYJ ;TECHNOPOLIS OYJ ;TAMFELT OYJ ABP ;TECNOTREE OYJ ;TURVATIIMI CORP ;TRAINERS HOUSE ;TECNOTREE OYJ ;TIKKURILA OYJ ;TULIKIVI OYJ ;UPM KYMMENE OYJ;VALMET OYJ 
TEKLA OYJ ;TECNOTREE OYJ ;TECHNOPOLIS OYJ ;TEKLA OYJ ;UPM KYMMENE OYJ;TULIKIVI OYJ ;TELESTE OYJ ;TRAINERS HOUSE ;UPM KYMMENE OYJ;UPONOR OYJ ;VALOE OYJ 
TELESTE OYJ ;TEKLA OYJ ;TECNOTREE OYJ ;TELESTE OYJ ;UPONOR OYJ ;TURVATIIMI CORP ;TIETO OYJ ;TULIKIVI OYJ ;UPONOR OYJ ;PLC UUTECHNIC ;VIKING LINE ABP 
TIETO OYJ ;TELESTE OYJ ;TEKLA OYJ ;TIETO OYJ ;PLC UUTECHNIC ;UPM KYMMENE OYJ;TIKKURILA OYJ ;TURVATIIMI CORP ;VAISALA OYJ ;VAISALA OYJ ;WARTSILA OYJ 
TIIMARI OYJ ABP ;TIETO OYJ ;TELESTE OYJ ;TIIMARI OYJ ABP ;VACON OYJ ;UPONOR OYJ ;TRAINERS HOUSE ;UPM KYMMENE OYJ;VALMET OYJ ;VALMET OYJ ;WULFF GROUP 
TRAINERS HOUSE ;TIIMARI OYJ ABP ;TIETO OYJ ;TIKKURILA OYJ ;VAISALA OYJ ;PLC UUTECHNIC ;TULIKIVI OYJ ;UPONOR OYJ ;VALOE OYJ ;VALOE OYJ ;YIT OYJ 
TULIKIVI OYJ ;TRAINERS HOUSE ;TIIMARI OYJ ABP ;TRAINERS HOUSE ;VALOE OYJ ;VACON OYJ ;TURVATIIMI CORP ;PLC UUTECHNIC ;VIKING LINE ABP ;VIKING LINE ABP ;YLEISELEKTRONIIKKA 
TURVATIIMI CORP ;TULIKIVI OYJ ;TULIKIVI OYJ ;TULIKIVI OYJ ;VIKING LINE ABP ;VAISALA OYJ ;UPM KYMMENE OYJ;VACON OYJ ;WARTSILA OYJ ;WARTSILA OYJ ;
UPM KYMMENE OYJ;TURVATIIMI CORP ;TURVATIIMI CORP ;TURVATIIMI CORP ;WARTSILA OYJ ;VALOE OYJ ;UPONOR OYJ ;VAISALA OYJ ;WULFF GROUP ;WULFF GROUP ;
UPONOR OYJ ;UPM KYMMENE OYJ;UPM KYMMENE OYJ;UPM KYMMENE OYJ;WULFF GROUP ;VIKING LINE ABP ;PLC UUTECHNIC ;VALMET OYJ ;YIT OYJ ;YIT OYJ ;
PLC UUTECHNIC ;UPONOR OYJ ;UPONOR OYJ ;UPONOR OYJ ;YIT OYJ ;WARTSILA OYJ ;VACON OYJ ;VALOE OYJ ;YLEISELEKTRONIIKKA ;YLEISELEKTRONIIKKA ;
VACON OYJ ;PLC UUTECHNIC ;PLC UUTECHNIC ;PLC UUTECHNIC ;YLEISELEKTRONIIKKA ;WULFF GROUP ;VAISALA OYJ ;VIKING LINE ABP ;;;
VAISALA OYJ ;VACON OYJ ;VACON OYJ ;VACON OYJ ;;YIT OYJ ;VIKING LINE ABP ;WARTSILA OYJ ;;;
VALOE OYJ ;VAISALA OYJ ;VAISALA OYJ ;VAISALA OYJ ;;YLEISELEKTRONIIKKA ;WARTSILA OYJ ;WULFF GROUP ;;;
VIKING LINE ABP ;VALOE OYJ ;VALOE OYJ ;VALOE OYJ ;;;WULFF GROUP ;YIT OYJ ;;;
WARTSILA OYJ ;VIKING LINE ABP ;VIKING LINE ABP ;VIKING LINE ABP ;;;YIT OYJ ;YLEISELEKTRONIIKKA ;;;
WULFF GROUP ;WARTSILA OYJ ;WARTSILA OYJ ;WARTSILA OYJ ;;;YLEISELEKTRONIIKKA ;;;;
YIT OYJ ;WULFF GROUP ;WULFF GROUP ;WULFF GROUP ;;;;;;;
YLEISELEKTRONIIKKA ;YIT OYJ ;YIT OYJ ;YIT OYJ ;;;;;;;
;YLEISELEKTRONIIKKA ;YLEISELEKTRONIIKKA ;YLEISELEKTRONIIKKA ;;;;;;;
